Model#,#EM,Model,LANGKAP,PASIR,RUMPUT,VEGETASI BASAH,VEGETASI LAIN,LANGKAP_lib#,PASIR_lib#,RUMPUT_lib#,VEGETASI BASAH_lib#,VEGETASI LAIN_lib#,#pixels,%pixels
1,2,LANGKAP-PASIR,lkp_16_X967_Y911,pasir_05_X778_Y210,,,,0,12,,,,777,    0.106382
2,2,LANGKAP-PASIR,lkp_16_X967_Y911,pasir_03_X784_Y203,,,,0,13,,,,2823,    0.386507
3,2,LANGKAP-PASIR,lkp_16_X967_Y911,pasir_06_X782_Y206,,,,0,14,,,,280,    0.038336
4,2,LANGKAP-PASIR,lkp_10_X988_Y898,pasir_05_X778_Y210,,,,1,12,,,,132,    0.018073
5,2,LANGKAP-PASIR,lkp_10_X988_Y898,pasir_03_X784_Y203,,,,1,13,,,,103,    0.014102
6,2,LANGKAP-PASIR,lkp_10_X988_Y898,pasir_06_X782_Y206,,,,1,14,,,,19,    0.002601
7,2,LANGKAP-PASIR,lkp_21_X947_Y915,pasir_05_X778_Y210,,,,2,12,,,,418,    0.057230
8,2,LANGKAP-PASIR,lkp_21_X947_Y915,pasir_03_X784_Y203,,,,2,13,,,,311,    0.042580
9,2,LANGKAP-PASIR,lkp_21_X947_Y915,pasir_06_X782_Y206,,,,2,14,,,,111,    0.015197
10,2,LANGKAP-PASIR,lkp_07_X1006_Y894,pasir_05_X778_Y210,,,,3,12,,,,34,    0.004655
11,2,LANGKAP-PASIR,lkp_07_X1006_Y894,pasir_03_X784_Y203,,,,3,13,,,,81,    0.011090
12,2,LANGKAP-PASIR,lkp_07_X1006_Y894,pasir_06_X782_Y206,,,,3,14,,,,10,    0.001369
13,2,LANGKAP-PASIR,lkp_11_X983_Y900,pasir_05_X778_Y210,,,,4,12,,,,286,    0.039157
14,2,LANGKAP-PASIR,lkp_11_X983_Y900,pasir_03_X784_Y203,,,,4,13,,,,73,    0.009995
15,2,LANGKAP-PASIR,lkp_11_X983_Y900,pasir_06_X782_Y206,,,,4,14,,,,39,    0.005340
16,2,LANGKAP-PASIR,lkp_08_X1003_Y894,pasir_05_X778_Y210,,,,5,12,,,,234,    0.032038
17,2,LANGKAP-PASIR,lkp_08_X1003_Y894,pasir_03_X784_Y203,,,,5,13,,,,487,    0.066677
18,2,LANGKAP-PASIR,lkp_08_X1003_Y894,pasir_06_X782_Y206,,,,5,14,,,,113,    0.015471
19,2,LANGKAP-PASIR,lkp_20_X948_Y906,pasir_05_X778_Y210,,,,6,12,,,,603,    0.082559
20,2,LANGKAP-PASIR,lkp_20_X948_Y906,pasir_03_X784_Y203,,,,6,13,,,,4095,    0.560661
21,2,LANGKAP-PASIR,lkp_20_X948_Y906,pasir_06_X782_Y206,,,,6,14,,,,803,    0.109942
22,2,LANGKAP-PASIR,lkp_14_X974_Y904,pasir_05_X778_Y210,,,,7,12,,,,386,    0.052849
23,2,LANGKAP-PASIR,lkp_14_X974_Y904,pasir_03_X784_Y203,,,,7,13,,,,27,    0.003697
24,2,LANGKAP-PASIR,lkp_14_X974_Y904,pasir_06_X782_Y206,,,,7,14,,,,94,    0.012870
25,2,LANGKAP-PASIR,lkp_02_X1097_Y909,pasir_05_X778_Y210,,,,8,12,,,,209,    0.028615
26,2,LANGKAP-PASIR,lkp_02_X1097_Y909,pasir_03_X784_Y203,,,,8,13,,,,33,    0.004518
27,2,LANGKAP-PASIR,lkp_02_X1097_Y909,pasir_06_X782_Y206,,,,8,14,,,,8,    0.001095
28,2,LANGKAP-PASIR,lkp_12_X980_Y900,pasir_05_X778_Y210,,,,9,12,,,,9,    0.001232
29,2,LANGKAP-PASIR,lkp_12_X980_Y900,pasir_03_X784_Y203,,,,9,13,,,,9,    0.001232
30,2,LANGKAP-PASIR,lkp_12_X980_Y900,pasir_06_X782_Y206,,,,9,14,,,,10,    0.001369
31,2,LANGKAP-PASIR,lkp_19_X948_Y904,pasir_05_X778_Y210,,,,10,12,,,,120,    0.016430
32,2,LANGKAP-PASIR,lkp_19_X948_Y904,pasir_03_X784_Y203,,,,10,13,,,,10,    0.001369
33,2,LANGKAP-PASIR,lkp_19_X948_Y904,pasir_06_X782_Y206,,,,10,14,,,,17,    0.002328
34,2,LANGKAP-PASIR,lkp_04_X1086_Y902,pasir_05_X778_Y210,,,,11,12,,,,1323,    0.181137
35,2,LANGKAP-PASIR,lkp_04_X1086_Y902,pasir_03_X784_Y203,,,,11,13,,,,515,    0.070510
36,2,LANGKAP-PASIR,lkp_04_X1086_Y902,pasir_06_X782_Y206,,,,11,14,,,,144,    0.019716
37,2,LANGKAP-RUMPUT,lkp_16_X967_Y911,,rumput_10_X789_Y532,,,0,,15,,,10,    0.001369
38,2,LANGKAP-RUMPUT,lkp_16_X967_Y911,,rumput_09_X789_Y538,,,0,,16,,,70,    0.009584
39,2,LANGKAP-RUMPUT,lkp_16_X967_Y911,,rumput_07_X786_Y556,,,0,,17,,,769,    0.105287
40,2,LANGKAP-RUMPUT,lkp_10_X988_Y898,,rumput_10_X789_Y532,,,1,,15,,,6,    0.000821
41,2,LANGKAP-RUMPUT,lkp_10_X988_Y898,,rumput_09_X789_Y538,,,1,,16,,,21,    0.002875
42,2,LANGKAP-RUMPUT,lkp_10_X988_Y898,,rumput_07_X786_Y556,,,1,,17,,,84,    0.011501
43,2,LANGKAP-RUMPUT,lkp_21_X947_Y915,,rumput_10_X789_Y532,,,2,,15,,,46,    0.006298
44,2,LANGKAP-RUMPUT,lkp_21_X947_Y915,,rumput_09_X789_Y538,,,2,,16,,,31,    0.004244
